patent_application_id;claim_id;X;Y;Z;intensidad;cited_document_id;label;titulo;text;text_b
EP6451301;100170_1;0.134928601;0.6669407;0.843260788;0.0003;EP6451301;0;Solic. EP6451301;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP5951193;100903_1;0.211704373;0.68948627;0.693928674;0.001;EP6451301;1;Solic. EP5951193;The 3 kW electric motor in a motorcycle is compact and quiet, ideal for urban and short trips. By running on magnets and electric current, this motor eliminates the need for fuel and reduces polluting emissions. Usually located in the rear wheel hub, it provides smooth and controlled acceleration. This type of motor, although lower in power, offers a good response in urban environments and requires little maintenance, being an economical and ecological option for city trips.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP7160415;100388_1;0.216106624;0.772440527;0.727494361;0.0004;EP6451301;1;Solic. EP7160415;With a power of 5 kW, the electric motor in a motorcycle provides efficiency and ease of handling, ideal for urban and peri-urban journeys. Its compact and lightweight design allows for a silent and emission-free ride. This mid-size motor provides a constant and controlled acceleration, suitable for city traffic. Placed in the wheel hub or in a direct transmission, its low maintenance and durability make it perfect for drivers looking for an ecological and agile experience in urban environments.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP9348831;100786_1;0.484063842;0.705638196;0.745181077;0.0002;EP6451301;1;Solic. EP9348831;A 7 kW motor offers a balance between power and efficiency in an electric motorcycle, ideal for urban journeys and some highway trips. With a compact design and silent operation, it eliminates the need for fossil fuels and reduces emissions. Its power allows for fast and safe acceleration on busy streets and avenues. Mounted on the rear wheel hub or with direct transmission, it provides reliable torque, easy to handle, and is low maintenance, perfect for daily use.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP3783210;100298_1;0.245849281;0.665105742;0.467365995;0.0002;EP6451301;1;Solic. EP3783210;The 10 kW motor in an electric motorcycle is efficient and powerful enough for urban journeys and interurban trips. By running on no fossil fuels, it reduces carbon emissions, contributing to environmental care. It is usually installed on the rear wheel or in direct transmission, offering instant and controlled acceleration. This power allows for agile driving on different terrains and conditions, providing a smooth and safe driving experience, and its low maintenance makes it a practical and reliable option.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP2325556;100926_1;0.410877512;0.873144054;0.948534069;0.0006;EP6451301;1;Solic. EP2325556;With 15 kW of power, this electric motor is ideal for mixed-use motorcycles, suitable for both urban environments and highway journeys. It offers fast and efficient acceleration, while maintaining silent and emission-free operation. Located on the rear wheel or with direct transmission, the motor provides constant torque, allowing for an agile and reliable driving experience. Its compact design and few moving parts reduce maintenance costs, making it ideal for users looking for moderate power and economy.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP7242813;100276_1;0.262246163;0.660733293;0.801301805;0.0008;EP6451301;1;Solic. EP7242813;A 20 kW electric motor provides a great boost in high-performance electric motorcycles, being suitable for city and highway use. This type of engine allows for faster and more controlled acceleration, ideal for those looking for dynamic driving. Its compact and efficient design makes it quiet, eliminating the use of fossil fuels and reducing polluting emissions. Typically mounted on the rear wheel or with direct drive, it offers agile handling and requires little maintenance, providing a balance between power and sustainability.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP6998152;100422_1;0.153584153;0.715623268;0.830607743;0.0008;EP6451301;1;Solic. EP6998152;With a power output of 25 kW, this motor is ideal for electric motorcycles geared towards highway riding and long journeys. It operates quietly thanks to the use of magnets and electricity, eliminating the dependence on fossil fuels. It offers fast and strong acceleration, allowing for an agile and versatile driving experience on different terrains. Its design reduces moving parts, so it requires low maintenance, and is an excellent choice for riders looking for reliable performance without sacrificing energy efficiency.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP5960749;100724_1;0.343431167;0.350524924;0.902118818;0.0004;EP6451301;1;Solic. EP5960749;A 30kW electric motor provides additional power for high-performance electric motorcycles, ideal for roads and open trails. This efficient and quiet motor uses magnets and electricity instead of fossil fuels, significantly reducing emissions. Located in the rear wheel or in a direct drive, it offers instant acceleration and constant torque, giving a firm and reliable driving experience. With fewer moving parts, it requires little maintenance, making it a practical choice for those seeking speed and efficiency.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
EP8543055;100630_1;0.148379121;0.969345669;0.736580738;0.0004;EP6451301;1;Solic. EP8543055;With 35kW, this electric motor is perfect for high-powered motorcycles, capable of reaching high speeds and adapting to varied terrain. Quiet and emission-free, it allows for quick and controlled acceleration, facilitating a stable and safe ride on the road. It is usually mounted on the rear wheel hub or in a direct drive, providing an agile driving experience. The reduction in moving parts allows for easy and long-lasting maintenance, ideal for those seeking power without compromising efficiency.;The electric motor of an electric motorcycle is compact, quiet and highly efficient. It works by using magnets and electric current, which eliminates the need for fossil fuels and significantly reduces polluting emissions. It is usually located in the rear wheel hub or coupled to a direct transmission, allowing for instant and smooth acceleration. High-performance motors offer constant torque, which provides a quick response and an agile driving experience. In addition, they are low maintenance, since they have fewer moving parts than combustion engines.
